"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Note [en]","Term [pl]","Description [pl]","Part of Speech [pl]","Status [pl]","Type [pl]","Note [pl]"
omnizine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,omnizyna,,,,,
ultravasculine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ultrawaskulina,,,,,
oculine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,okulina,,,,,
ethylredoxrazine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,etyloredoksrazyna,,,,,
cognizine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,świadomizyna,,,,,
ethyloxyephedrine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,etyloksefedryna,,,,,
diphenylmethylamine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,difenylometyloamina,,,,,
sigynate,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,syginat,,,,,
saline,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,sól fizjologiczna,,,,,
lacerinol,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,skaleczyna,,,,,
puncturase,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kłujorazyna,,,,,
bruizine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,siniakozyna,,,,,
holy water,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,woda święcona,,,,,
pyrazine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,poparzyna,,,,,
insuzine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,porażyna,,,,,
opporozidone,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,opporozydon,,,,,
arcryox,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,arkrioks,,,,,
aloxadone,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,aloksadon,,,,,
mannitol,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,mannitol,,,,,
psicodine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,psykodon,,,,,
potassium iodide,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,jodek potasu,,,,,
haloperidol,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,haloperidol,,,,,
heparin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,heparyna,,,,,
ambuzol I,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ambuzol I,,,,,
ambuzol II,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ambuzol II,,,,,
ambuzol III,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ambuzol III,,,,,
ambuzol IV,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ambuzol IV,,,,,
ambuzol V,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ambuzol V,,,,,
necrosol,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,śmierciosol,,,,,
warfarin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,warfaryna,,,,,
osteodine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,osteodyna,,,,,
acetone,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,aceton,,,,,
phenol,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,fenol,,,,,
sodium carbonate,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,węglan sodu,,,,,
artifexium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,artifeksium,,,,,
artifact glue,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,klej do artefaktów,,,,,
benzene,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,benzen,,,,,
hydroxide,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,wodorotlenek,,,,,
sodium hydroxide,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,wodorotlenek sodu,,,,,
fersilicite,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ferrokrzem,,,,,
sodium polyacrylate,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,poliakrylan sodu,,,,,
cellulose,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,celuloza,,,,,
rororium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,rororium,,,,,
lye,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ług,,,,,
aluminium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,aluminium,,,,,
ash,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,popiół,,,,,
carbon,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,węgiel,,,,,
charcoal,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,węgiel drzewny,,,,,
chlorine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,chlor,,,,,
copper,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,miedź,,,,,
fluorine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,fluor,,,,,
gold,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,złoto,,,,,
hydrogen,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,wodór,,,,,
iodine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,jod,,,,,
iron,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,żelazo,,,,,
lithium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,lit,,,,,
mercury,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,rtęć,,,,,
potassium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,potas,,,,,
phosphorus,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,fosfor,,,,,
radium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,rad,,,,,
silver,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,srebro,,,,,
sulfur,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,siarka,,,,,
sodium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,sód,,,,,
uranium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,uran,,,,,
zinc,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,cynk,,,,,
toxin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,toksyna,,,,,
carpotoxin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,karpiotoksyna,,,,,
mold,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,pleśń,,,,,
polytrinic acid,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kwas polytrynowy,,,,,
chloral hydrate,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,wodzian chloralu,,,,,
gastrotoxin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,gastrotoksyna,,,,,
ferrochromic acid,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kwas ferrochromowy,,,,,
fluorosulfuric acid,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kwas fluorosiarkowy,,,,,
sulfuric acid,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kwas siarkowy,,,,,
unstable mutagen,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,niestabilny mutagen,,,,,
heartbreaker toxin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kardiotoksyna,,,,,
lexorin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,leksoryna,,,,,
mindbreaker toxin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,LSD,,,,,
histamine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,histamina,,,,,
theobromine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,teobromina,,,,,
amatoxin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,amatoksyna,,,,,
vent crud,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,odpływ wentylacyjny,,,,,
romerol,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,romerol,,,,,
uncooked animal proteins,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,nieugotowane zwierzęce proteiny,,,,,
allicin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,allicyna,,,,,
pax,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,pax,,,,,
honk,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,honk,,,,,
lead,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ołów,,,,,
bungotoxin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,bungotoksyna,,,,,
vestine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,westyna,,,,,
tazinide,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,tazynida,,,,,
lipolicide,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,lipolycyda,,,,,
mechanotoxin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,mechanotoksyna,,,,,
reprocessed material,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,śmieciotoksyna,,,,,
hemorrhinol,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,hemorynol,,,,,
hivarol,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,hiwarol,,,,,
phosphoric acid,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kwas fosforowy,,,,,
desoxyephedrine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,dezoksyefedryna,,,,,
ephedrine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,efedryna,,,,,
hyperzine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,hiperzyna,,,,,
experimental stimulants,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,eksperymentalne stymulanty,,,,,
THC,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,THC,,,,,
bananadine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,bananadyna,,,,,
nicotine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,nikotyna,,,,,
impedrezene,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,impedryzyna,,,,,
space mirage,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kosmiczny miraż,,,,,
nocturine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,nokturyna,,,,,
mute toxin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,niemotoksyna,,,,,
tacitic acid,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kwas tacytyczny,,,,,
norepinephric acid,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,norepinefryczny kwas,,,,,
tear gas,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,gaz łzawiący,,,,,
happiness,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,uszczęśliwienie,,,,,
forever weed,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,wieczne ziele,,,,,
cryanobalamin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,krianobalamina,,,,,
Lift Lover's Special,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,pudzian specjal,,,,,
morphine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,morfina,,,,,
nitrosyl plasmide,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,nitrozylowy plazmid,,,,,
Hydroxysomnolene,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,hydroksysomnolene,,,,,
Methylenedioxystraquinone,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,metylenodioksystrachinon,,,,,
thermite,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,termit,,,,,
napalm,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,napalm,,,,,
phlogiston,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,flogiston,,,,,
chlorine trifluoride,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,trifluorek chloru,,,,,
foaming agent,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,środek pieniący,,,,,
welding fuel,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,paliwo spawalnicze,,,,,
xenoborg oil,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,olej ksenoborga,,,,,
fluorosurfactant,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,fluorosurfaktant,,,,,
blood,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,krew,,,,,
insect blood,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,robacza krew,,,,,
slime,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,szlam,,,,,
sap,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,sok łykowy,,,,,
blue blood,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,niebieska krew,,,,,
anaerobic blood,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,krew beztlenowa,,,,,
sulfuric blood,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,krew siarkowa,,,,,
zombie blood,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,krew żywego trupa,,,,,
unholy blood,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,nieświęta krew,,,,,
ichor,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,posoka,,,,,
fat,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,tłuszcz,,,,,
vomit,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,wymiociny,,,,,
grey matter,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,szara materia,,,,,
sanguine perniculate,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,szkarłatny pernikulat,,,,,
living tissue,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,żywa tkanka,,,,,
carpetium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,dywanium,,,,,
fiber,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,włókno,,,,,
buzzochloric bees,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,buzochlorek pszczół,,,,,
ground Bee,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,zmielona pszczoła,,,,,
brass,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,mosiądz,,,,,
licoxide,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,likoksyd,,,,,
razorium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,brzytworium,,,,,
Fresium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,fresium,,,,,
laughter,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,śmiech,,,,,
juice that makes you Weh,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,sok powodujący Weh,,,,,
juice that makes you Hew,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,sok powodujący Hew,,,,,
felinase,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,felinaza,,,,,
caninase,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kaninaza,,,,,
saxoite,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,saksoityt,,,,,
EZ nutrient,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,EZ odżywka,,,,,
left-4-zed,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,left-4-zed,,,,,
pest killer,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,pestycydy,,,,,
plant-B-gone,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,chwastobójca,,,,,
robust harvest,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,urodzajnik,,,,,
weed killer,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,herbicydy,,,,,
ammonia,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,amoniak,,,,,
diethylamine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,dietyloamina,,,,,
sedin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,uziarniacz,,,,,
bleach,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,wybielacz,,,,,
space cleaner,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kosmomyj,,,,,
soap,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,mydło,,,,,
space lube,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kosmosmar,,,,,
space glue,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kosmoklej,,,,,
oxygen,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,tlen,,,,,
plasma,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,plazma,,,,,
tritium,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,tryt,,,,,
carbon dioxide,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,dwutlenek węgla,,,,,
nitrogen,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,azot,,,,,
nitrous oxide,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,podtlenek azotu,,,,,
frezon,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,mrożon,,,,,
edge essentia,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,esencja ostrza,,,,,
extinguishing agent,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,środek gaśniczy,,,,,
stasizium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,stazynium,,,,,
tranquility,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,spokój,,,,,
profanol,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,przeklinol,,,,,
hemoxadone,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,hemoksadon,,,,,
cyanoxadone,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,cyjanoksadon,,,,,
anodynafil,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,anodynafila,,,,,
bz,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,BZ,,,,,
healium,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,leczelium,,,,,
nitrium,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,nitrium,,,,,
pluoxium,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,pluoksium,,,,,
hyper-noblium,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,hiper-noblium,,,,,
proto-nitrate,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,proto-azotan,,,,,
zauker,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,zauker,,,,,
halon,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,halon,,,,,
helium,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,hel,,,,,
anti-noblium,Atmos / chemistry gas.,NOUN,PREFERRED,FULL_FORM,,anty-noblium,,,,,
BZ Metabolites,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,metabolity BZ,,,,,
rhigoxane,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,rygoksan,,,,,
spewium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,wymiotum,,,,,
pestiline,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,epidemiolina,,,,,
exoticium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,egzotium,,,,,
stasicillin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,stasicylina,,,,,
negacordrazine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,negakordrazyna,,,,,
stabilised stimulants,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,stabilizowane stymulanty,,,,,
revivopine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,wskrzeszopiryna,,,,,
corgium,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,corgium,,,,,
muigroc,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,muigroc,,,,,
catberry extract,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ekstrakt z catberry,,,,,
ink,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,atrament,,,,,
Polystatic Amylostyronate,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,Amylostyronian Polistatyczny,,,,,
machine oil,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,olej maszynowy,,,,,
mucin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,mucyna,,,,,
methylated blood,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,krew metylowana,,,,,
ethanotoxin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,etanotoksyna,,,,,
dinosaur blood,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,krew dinozaura,,,,,
shimmering blood,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,opalizująca krew,,,,,
synthblood,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,syntamina,,,,,
glass,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,szkło,,,,,
reinforced glass,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,wzmocnione szkło,,,,,
plasma glass,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,szkło plazmowe,,,,,
reinforced plasma glass,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,wzmocnione szkło plazmowe,,,,,
uranium glass,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,szkło uranowe,,,,,
reinforced uranium glass,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,wzmocnione szkło uranowe,,,,,
runed glass,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,runiczne szkło,,,,,
steel,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,stal,,,,,
plasteel,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,plastal,,,,,
runed steel,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,runiczna stal,,,,,
runed plasteel,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,runiczna plastal,,,,,
biomass,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,biomasa,,,,,
cardboard,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,tektura,,,,,
cloth,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,tkanina,,,,,
durathread,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,duratkanina,,,,,
plastic,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,plastik,,,,,
wood,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,drewno,,,,,
paper,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,papier,,,,,
bananium,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,bananium,,,,,
meat,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,mięso,,,,,
silk,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,jedwab,,,,,
bone,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,kości,,,,,
coal,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,węgiel,,,,,
diamond,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,diament,,,,,
gunpowder,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,proch strzelniczy,,,,,
cotton,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,bawełna,,,,,
xenoborg crystal,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,kryształ ksenoborga,,,,,
raw iron,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,ruda żelaza,,,,,
raw quartz,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,ruda kwarcu,,,,,
raw gold,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,ruda złota,,,,,
raw silver,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,ruda srebra,,,,,
raw plasma,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,surowa plazma,,,,,
raw uranium,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,surowy uran,,,,,
raw bananium,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,surowe bananium,,,,,
raw salt,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,surowa sól,,,,,
raw diamond,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,surowy diament,,,,,
bluespace crystal,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,kryształ bluespace,,,,,
entropy,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,entropia,,,,,
cerenkite,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,cerenkit,,,,,
plutonium,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,pluton,,,,,
bohrum,Crafting / stack material.,NOUN,PREFERRED,FULL_FORM,,bohrum,,,,,
Water Vapor,Atmos gas (analyzer / canister UI).,NOUN,PREFERRED,FULL_FORM,,Para wodna,,,,,
Flatpacker,Machine that packs structures into flatpacks.,NOUN,PREFERRED,FULL_FORM,Not only the 1001 model.,Pakowacz,,,,,
Topicals,External meds category (borg module / lathe pack).,NOUN,PREFERRED,FULL_FORM,"Ointment, bruise pack, gauze.",Preparaty do stosowania zewnętrznego,,,,,
ointment,Burn topical.,NOUN,PREFERRED,FULL_FORM,,maść,,,,,
bruise pack,Brute topical.,NOUN,PREFERRED,FULL_FORM,,okład na stłuczenia,,,,,
regenerative mesh,Advanced burn topical.,NOUN,PREFERRED,FULL_FORM,,siatka regeneracyjna,,,,,
medicated suture,Advanced brute topical.,NOUN,PREFERRED,FULL_FORM,,szew leczniczy,,,,,
blood pack,IV blood topical.,NOUN,PREFERRED,FULL_FORM,,worek krwi,,,,,
gauze,Bleeding topical.,NOUN,PREFERRED,FULL_FORM,,gaza,,,,,
roll of gauze,Gauze item name.,NOUN,PREFERRED,FULL_FORM,,rolka gazy,,,,,
bone gel,Surgical bone mender.,NOUN,PREFERRED,FULL_FORM,,żel kostny,,,,,
bottle of bone gel,Bone gel container.,NOUN,PREFERRED,FULL_FORM,,butelka żelu kostnego,,,,,
Automatic Trading Station,Cargo trading outpost.,NOUN,PREFERRED,FULL_FORM,ATS = ASH.,Automatyczna Stacja Handlowa,,,,,
ATS,Automatic Trading Station.,NOUN,PREFERRED,ACRONYM,"Polish acronym ASH. Not ash (popiół).",ASH,,,,,
ASH,Polish acronym of Automatic Trading Station.,NOUN,PREFERRED,ACRONYM,"Not the ash reagent (popiół).",ASH,,,,,
silicon,Chemistry element / reagent.,NOUN,PREFERRED,FULL_FORM,"Not the Silicon department (Silikonowy).",krzem,,,,,
ants,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,mrówki,,,,,
joos,Gray blood reagent display name. Keep.,NOUN,ADMITTED,FULL_FORM,"MACRO gray-blood.",joos,,,,,
O2,Oxygen abbreviation.,NOUN,PREFERRED,ABBREVIATION,,O2,,,,,
N2,Nitrogen abbreviation.,NOUN,PREFERRED,ABBREVIATION,,N2,,,,,
CO2,Carbon dioxide abbreviation.,NOUN,PREFERRED,ABBREVIATION,,CO2,,,,,
N2O,Nitrous oxide abbreviation.,NOUN,PREFERRED,ABBREVIATION,,N2O,,,,,
Strawberry Ice,Street name of Methylenedioxystraquinone.,NOUN,PREFERRED,FULL_FORM,,truskawkowy lód,,,,,
